company,details,slide_type,description,use_case,industry,tags,image_link,image_id
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Header Horizontal,"Highlights types of computing hardware optimized for different ML tasks, like GPUs and TPUs.",Technology and Digital Transformation,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ed506d2249328b99c37_mJkqLaFpiaIyM8S2tCGtVQFn0LiqBXmwgDOvURBrXY4.avif,slide-65.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Boxed,"Split design detailing the benefits of engaging with ML on the left, and the risks and uncertainties on the right.",Technology and Digital Transformation,Technology & Software,"['Icon', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026edc0c60b003379e2b9e_NY6dw4IzV8aJUyHFe61EVC7NQ5xhl5J_9GsgKyQpKG4.avif,slide-66.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Linear Flow,"Case studies of companies that have leveraged ML for significant operational improvements, with stats on impacts.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ee3c5aaa37cc45dabb4_7KV8DYHk2Y0kK0COC9Inmf904EVFY3x2ajdeeSp4b6E.avif,slide-67.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Header Vertical,"Describes the expected impact of ML industrialization across various sectors, with representative icons for each.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026eeb8282332c1cc74e81_n8blHU_kIiOzyJYV8GseoBlsdBJLV9PriIodb6skOec.avif,slide-68.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Industrializing machine learning,Header Vertical,Two columns addressing debates: 'Impact of ML industrialization' and 'Selection criteria for solutions that industrialize ML'.,Technology and Digital Transformation,Technology & Software,"['List', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026ef217b09055c2df94c2_3bdXNtA7jkPQZ2PZjyZKOTGfolAhh3sf_PO6IakfHFg.avif,slide-69.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Mixed Chart,"The slide includes a bar chart showing the projected electricity demand growth by end-use technologies (TWh) from 2022 to 2050. Categories include Industrial, Commercial, Residential, Road Transport, and Other Transport. Each category has a detailed breakdown for the years 2022 and 2030.",Market Analysis and Trends,Energy & Utilities,"['Paragraph', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb44f6c5fbc8dd3f07d9_iVUofTWhJYvkdiLg6UHvhYnMBcgDFq8nsLHWYMblBb0.avif,slide-70.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Mixed Chart,"The slide contains a column chart illustrating the global crude oil demand (mmbpd) from 2022 to 2050, with segments for Aviation, Petrochemicals, Transport, Residential, Power, and Industrial. The chart shows a notable decline in demand post-2030, particularly in the transport sector.",Strategic Planning,Energy & Utilities,"['Takeaway Box', 'Paragraph', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb4800a80a1f9ea57304_-n45ygeDg8iBC1scE7aMa8mQTl6gItoKto-68ehi64k.avif,slide-71.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Header Vertical,"This slide features a dominant title with bullet points below explaining the trend. There's a flow diagram on the right illustrating the software development life cycle. The design is clean with a balance between text and visuals, using blue highlights to emphasize key areas.",Market Analysis and Trends,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f0a342e6060477ea41c_7uBEoL2xM7TCuyJYOwzcOWF4UGDxcjKz3w_XADB9deU.avif,slide-72.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Header Horizontal,"The slide is data-focused, containing several statistics and data points highlighted by blue markers. Icons are used to visually represent the different metrics, and there's a balance of text and imagery to keep the viewer engaged.",Strategic Planning,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f12b5e517c37fb05abf_5md4OuOcO6ibkJpyGfdYUY8mdqGTmG1EYhzW3QIniJ8.avif,slide-73.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Boxed,"The slide contrasts manual vs. automated development techniques. It features text on both sides with a central image of a human and a robot shaking hands, symbolizing the collaboration between humans and AI. The design is straightforward, focusing on the comparison.",Technology and Digital Transformation,Technology & Software,"['Graphic', 'Table', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f195b9c287319c8cd41_gfBmPt8WB5pg11s374D5QmDQrMP_vWMItR7X3Fp2xkE.avif,slide-74.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Linear Flow,"This text-heavy slide offers a detailed look at impactful technologies across the software development life cycle. It has a clear structure with headers and bullet points, and uses blue to highlight key terms. Visual complexity is moderate due to the amount of text and information provided.",Operational Efficiency,Technology & Software,['Chevron'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f21d78463c4506aeb84_GfDSq5HCBKpd9fAZuCj_XbCGYkVxM6PLsZKZwZoEmFE.avif,slide-75.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Header Vertical,"This slide showcases a list of industries with relevant examples of how they are affected by software development trends. Icons and colored markers are used to denote the level of industry relevance, creating a clear visual hierarchy and focus points. The layout is simple, prioritizing clarity and readability.",Industry Overview,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f28a8567ee054389094_EotWTOgnE558fQN-B_c8oS4Efs3If_fdjBpowvJLehI.avif,slide-76.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Header Vertical,"The slide is text-centric with a table format highlighting stages of the software development life cycle (SDLC) and corresponding technologies. Each technology is paired with a real-world company example, and the layout is direct with a clear delineation of information, utilizing minimal design elements for clarity.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f2f55b7110793f5cf26_48QjdcWwkNGRE4mFA0oc6U604NY-uy7z2rmSdqepMEY.avif,slide-77.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Header Horizontal,"The design is simple and clear, employing icons and bullet points to outline uncertainties associated with emerging software development trends. The use of colors distinguishes different areas of concern, with a good balance of text and visuals for a non-cluttered presentation of complex information.",Risk Assessment and Management,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f377e0b8965f53188a7_TWNDJeidwg9NNcs7ZFmQq9UkFZZ585HVLc-A3sPbOIY.avif,slide-78.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Next-generation software development,Text Only,"Featuring a digital avatar, the slide presents a question-answer format with a focus on debate topics. The dark background emphasizes the text and the avatar, guiding the viewer's attention directly to the content. The layout facilitates an easy-to-follow structure, highlighting key discussion points.",Strategic Planning,Technology & Software,"['Graphic', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f3e99eed76e3724fa34_O7QAvV2DUMIAagGT8TU3OgRLpDxN9jpOC7YhjSo_TY8.avif,slide-79.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Mixed Chart,"The slide features a bar chart showing global natural gas demand (bcm) from 2022 to 2050, with segments for Petrochemicals, Power with CCUS, Residential, Power, Industrial, and Commercial. The chart indicates a decline in demand, particularly in residential and conventional power segments.",Strategic Planning,Energy & Utilities,"['Takeaway Box', 'Paragraph', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb4b00a80a1f9ea57660_x-JNr7CiGEPKbgcJz3r3aNrlMjMjZNja-xBjuNW12no.avif,slide-80.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Title,"This slide displays a dark blue background with an image of a microchip and quantum circuits, representing quantum technologies. The slide's title is in large, bold white font at the top, with a subtitle ""Quantum technologies"" and the date ""August 2022"" in smaller font, both clearly legible.",Industry Overview,Technology & Software,['Graphic'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f4e0950eb6e06c69101_bmVSjc11GL-qZUK3LaKNB2wOmK_V-S0KXdVo4BQzkZo.avif,slide-81.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Text Only,"The slide is divided into two parts, with the left side outlining established quantum technologies like lasers and magnetic resonance imaging, accompanied by descriptive icons. The right side highlights emerging quantum technologies, represented by icons and concise explanations of their potential.",Technology and Digital Transformation,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f5584c8c0c91ef42912_uC-Zha461IxceByi4aLzR_VUqbJR8FpQCW5gt_XjGg4.avif,slide-82.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Pillar,"The slide provides key figures and statements around the potential impact of quantum technologies. It employs a simple layout with icons to accompany the text, making the statistical data and projections stand out clearly against the dark background.",Strategic Planning,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f5c46ddd235a89c4704_NFeHButUsKBs06PmgDO0WmaGxDlWlH2Sys87KIct5tA.avif,slide-83.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Header Vertical,"This comparison slide features two columns contrasting classical and quantum computers. Icons and contrasting colors clearly distinguish between the two types, providing an easy-to-follow comparison that is visually simple and effective for educational purposes.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f6406d2249328ba4fa5_syBvbyYgLRirMnh2DZAaxqLAaF-2pfOILsKfgEF2Gh0.avif,slide-84.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Header Horizontal,"The slide features wave graphics and icons to discuss the advantages of quantum communication. The content is arranged in a clear, linear fashion, with color differentiation aiding in distinguishing between the different sections and points made on the slide.",Technology and Digital Transformation,Technology & Software,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f6b02c2ac2b6d828a92_DWImmTTrkcYrN5CTP4J2IMSrMDqZhn7sH3LUnqp9e-M.avif,slide-85.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Header Vertical,"The slide is divided into two columns, with a headline across the top. The left column provides a brief introduction to quantum computing's potential impact, while the right column lists applications with associated icons representing different quantum computing use cases, such as simulation and optimization.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f7319d36555459344fd_ZnSzKGBXnz6KmgrDEDoxOlJVC4VQ8QYLkR1EXbkAFHc.avif,slide-86.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Header Horizontal,"This slide contrasts the enabling functions of quantum communications versus its classical counterpart. It has a clear, two-column format that lists applications on the left and expands on them on the right. Icons are used to visually distinguish different applications of quantum communications, such as quantum-enhanced cryptography and quantum internet.",Technology and Digital Transformation,Technology & Software,"['Table', 'Picture']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f7aa8567ee05438f1c8_PvF--Jr9Z6UY72DbTa8lX0_haHy8__RZtDqqpRqGVho.avif,slide-87.jpg
EY ,"If every energy transition is different, which course will accelerate yours?",Mixed Chart,"The slide includes a bar chart illustrating the evolution of the oil and gas portfolio (illustrative) from 2022 to 2050. Segments include Synthetic Fuels, Hydrogen and Ammonia, Biofuels and Biogas, Renewable Power, Natural with CCUS offsets, and Crude Oil with CCUS offsets.",Strategic Planning,Energy & Utilities,"['Paragraph', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb4e9904ea32cbe880ee_XCHIXK-tN5eeCeb-lV-EjO28kE0XuV98zuorWsTDnss.avif,slide-88.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Header Vertical,"The slide provides a straightforward layout with a column of text on the left and a corresponding column with icons and examples of impacts on the right. It utilizes images to represent different industries, which complements the textual information provided and allows for quick visual association.",Industry Overview,Technology & Software,"['Table', 'List', 'Picture']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f8826f56105c94980af_c6uhk4eJPMRoa5SMnpOOXmeftKyTsoiyNwbs975jPpQ.avif,slide-89.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Header Horizontal,"This slide presents two hypothetical scenarios side by side, using illustrations and bullet points. The graphics include representations of hybrid computing solutions and people discussing around high-performance computers. The clear, side-by-side comparison layout helps in contrasting the current state and future expectations in quantum technology.",Strategic Planning,Technology & Software,"['Bullet points', 'Picture']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f90de98875ca52f7fa0_yorOdpFCXRWHI7i7peqWVWCaHgFZkBVXO_fbfMLZBb0.avif,slide-90.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Quantum technologies,Header Horizontal,A two-column slide listing the advantages and risks of engaging with quantum technologies. Icons symbolize positive and negative aspects on each side.,Strategic Planning,Technology & Software,"['Icon', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026f98f4971ffbd49aa54f_kmrHLQB54NRy6qf5lV9pWaTv6tFE9s3pmLPPPmWVq98.avif,slide-91.jpg
